IUCN,IUCN Category,SPEC,Species,COU,Country,Unit Code,Unit,Reference Period Code,Reference Period,Value,Flag Codes,Flags
CRITICAL,Number of critically endangered species,MAMMAL,Mammals,POL,Poland,NBR,Number,,,2.0,,
VULNERABLE,Number of vulnerable species,MAMMAL,Mammals,POL,Poland,NBR,Number,,,1.0,,
THREATENED,Total number of threatened species,MAMMAL,Mammals,POL,Poland,NBR,Number,,,13.0,,
ENDANGERED_IND,Number of endangered indigenous species,MAMMAL,Mammals,POL,Poland,NBR,Number,,,10.0,,
CRITICAL_IND,Number of critically endangered indigenous species,MAMMAL,Mammals,POL,Poland,NBR,Number,,,2.0,,
VULNERABLE_IND,Number of vulnerable indigenous species,MAMMAL,Mammals,POL,Poland,NBR,Number,,,1.0,,
TOT_KNOWN,Total number of known species,MAMMAL,Mammals,PRT,Portugal,NBR,Number,,,158.0,,
TOT_KNOWN_IND,Total number of indigenous known species,MAMMAL,Mammals,PRT,Portugal,NBR,Number,,,108.0,,
ENDANGERED,Number of endangered species,MAMMAL,Mammals,PRT,Portugal,NBR,Number,,,7.0,,
CRITICAL,Number of critically endangered species,MAMMAL,Mammals,PRT,Portugal,NBR,Number,,,11.0,,
VULNERABLE,Number of vulnerable species,MAMMAL,Mammals,PRT,Portugal,NBR,Number,,,13.0,,
THREATENED,Total number of threatened species,MAMMAL,Mammals,PRT,Portugal,NBR,Number,,,31.0,,
ENDANGERED_IND,Number of endangered indigenous species,MAMMAL,Mammals,PRT,Portugal,NBR,Number,,,7.0,,
CRITICAL_IND,Number of critically endangered indigenous species,MAMMAL,Mammals,PRT,Portugal,NBR,Number,,,11.0,,
VULNERABLE_IND,Number of vulnerable indigenous species,MAMMAL,Mammals,PRT,Portugal,NBR,Number,,,13.0,,
TOT_KNOWN,Total number of known species,MAMMAL,Mammals,SVK,Slovak Republic,NBR,Number,,,90.0,,
TOT_KNOWN_IND,Total number of indigenous known species,MAMMAL,Mammals,SVK,Slovak Republic,NBR,Number,,,85.0,,
